Utterance	Intents
please stop	l_SAICVADemo_Email, l_SAICVADemo_General
signout	l_SAICVADemo_Email, l_SAICVADemo_General
hello	l_SAICVADemo_Email, l_SAICVADemo_General
transfer me please	l_SAICVADemo_Email, l_SAICVADemo_General
bye	l_SAICVADemo_Email, l_SAICVADemo_General
abort	l_SAICVADemo_Email, l_SAICVADemo_General
i'm stuck	l_SAICVADemo_Email, l_SAICVADemo_General
hi	l_SAICVADemo_Email, l_SAICVADemo_General
hello bot	l_SAICVADemo_Email, l_SAICVADemo_General
i want to talk to a human	l_SAICVADemo_Email, l_SAICVADemo_General
start over	l_SAICVADemo_Email, l_SAICVADemo_General
move back	l_SAICVADemo_Email, l_SAICVADemo_General
i would like to cancel	l_SAICVADemo_Email, l_SAICVADemo_General
what can you help me with	l_SAICVADemo_Email, l_SAICVADemo_General
sign out	l_SAICVADemo_Email, l_SAICVADemo_General
undo	l_SAICVADemo_Email, l_SAICVADemo_General
logout	l_SAICVADemo_Email, l_SAICVADemo_General
can i talk to a person	l_SAICVADemo_Email, l_SAICVADemo_General
disregard	l_SAICVADemo_Email, l_SAICVADemo_General
help	l_SAICVADemo_Email, l_SAICVADemo_General
log out	l_SAICVADemo_Email, l_SAICVADemo_General
go back	l_SAICVADemo_Calendar, l_SAICVADemo_Email, l_SAICVADemo_General
restart	l_SAICVADemo_Email, l_SAICVADemo_General
that's it thanks	l_SAICVADemo_Email, l_SAICVADemo_General
can you help me	l_SAICVADemo_Email, l_SAICVADemo_General
last	l_SAICVADemo_Email, l_SAICVADemo_General
go to previous	l_SAICVADemo_Email, l_SAICVADemo_General
previous	l_SAICVADemo_Email, l_SAICVADemo_General
ok thanks	l_SAICVADemo_Email, l_SAICVADemo_General
hiya	l_SAICVADemo_Email, l_SAICVADemo_General
cancel	l_SAICVADemo_General, l_SAICVADemo_ToDo
help please	l_SAICVADemo_Email, l_SAICVADemo_General
good evening	l_SAICVADemo_Email, l_SAICVADemo_General
why doesn't this work	l_SAICVADemo_Email, l_SAICVADemo_General
ok bye	l_SAICVADemo_Email, l_SAICVADemo_General
