Utterance	Intents
forget me	l_SAICVADemo_Email, l_SAICVADemo_General
don't	l_SAICVADemo_Email, l_SAICVADemo_General
signout	l_SAICVADemo_Email, l_SAICVADemo_General
don't do that	l_SAICVADemo_Email, l_SAICVADemo_General
transfer me please	l_SAICVADemo_Email, l_SAICVADemo_General
good morning	l_SAICVADemo_Email, l_SAICVADemo_General
how are you today	l_SAICVADemo_Email, l_SAICVADemo_General
bye	l_SAICVADemo_Email, l_SAICVADemo_General
abort	l_SAICVADemo_Email, l_SAICVADemo_General
help me	l_SAICVADemo_Email, l_SAICVADemo_General
hi	l_SAICVADemo_Email, l_SAICVADemo_General
hello bot	l_SAICVADemo_Email, l_SAICVADemo_General
i want to talk to a human	l_SAICVADemo_Email, l_SAICVADemo_General
what can i say	l_SAICVADemo_Email, l_SAICVADemo_General
start over	l_SAICVADemo_Email, l_SAICVADemo_General
move back	l_SAICVADemo_Email, l_SAICVADemo_General
stop	l_SAICVADemo_Email, l_SAICVADemo_General
show next	l_SAICVADemo_General, l_SAICVADemo_ToDo
sign out	l_SAICVADemo_Email, l_SAICVADemo_General
how are you	l_SAICVADemo_Email, l_SAICVADemo_General
disregard	l_SAICVADemo_Email, l_SAICVADemo_General
log out	l_SAICVADemo_Email, l_SAICVADemo_General
go back	l_SAICVADemo_Calendar, l_SAICVADemo_General
good night	l_SAICVADemo_Email, l_SAICVADemo_General
don't do it	l_SAICVADemo_Email, l_SAICVADemo_General
restart	l_SAICVADemo_Email, l_SAICVADemo_General
that's it thanks	l_SAICVADemo_Email, l_SAICVADemo_General
go to previous	l_SAICVADemo_Email, l_SAICVADemo_General
previous	l_SAICVADemo_Email, l_SAICVADemo_General
ok thanks	l_SAICVADemo_Email, l_SAICVADemo_General
hiya	l_SAICVADemo_Email, l_SAICVADemo_General
cancel	l_SAICVADemo_Email, l_SAICVADemo_General, l_SAICVADemo_ToDo
never mind	l_SAICVADemo_Email, l_SAICVADemo_General
exit	l_SAICVADemo_Email, l_SAICVADemo_General
what do i do now	l_SAICVADemo_Email, l_SAICVADemo_General
hey	l_SAICVADemo_Email, l_SAICVADemo_General
help please	l_SAICVADemo_Email, l_SAICVADemo_General
good evening	l_SAICVADemo_Email, l_SAICVADemo_General
next	l_SAICVADemo_General, l_SAICVADemo_ToDo
ok bye	l_SAICVADemo_Email, l_SAICVADemo_General
what can you do	l_SAICVADemo_Email, l_SAICVADemo_General
